Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,RSI
2023-10-20 22:00:00,29614.79,29674.6,29595.29,29661.67,584.0,17314948.0,26548,
2023-10-20 23:00:00,29661.66,29790.59,29652.27,29669.04,1040.0,30900298.0,42384,
2023-10-21 00:00:00,29669.05,29699.68,29585.06,29628.16,837.0,24811068.0,36174,
2023-10-21 01:00:00,29628.15,29631.79,29514.19,29533.88,668.0,19744400.0,31534,
2023-10-21 02:00:00,29533.87,29539.35,29465.53,29486.96,753.0,22212162.0,33498,
2023-10-21 03:00:00,29486.96,29624.58,29464.77,29604.43,740.0,21862839.0,33376,40.67509448716327
2023-10-21 04:00:00,29604.42,29627.8,29553.53,29556.13,661.0,19569175.0,23862,35.14441754405779
2023-10-21 05:00:00,29556.13,29584.91,29541.86,29578.66,381.0,11253013.0,20500,37.79901722555203
2023-10-21 06:00:00,29578.65,29730.88,29578.65,29705.0,974.0,28885837.0,45165,58.428395928395936
2023-10-21 07:00:00,29704.99,29723.63,29651.78,29695.8,561.0,16646183.0,30874,71.83622828784084
2023-10-21 08:00:00,29695.8,29719.43,29656.24,29662.3,508.0,15085720.0,27069,74.53405720042538
2023-10-21 09:00:00,29662.29,29866.0,29634.56,29843.42,1509.0,44889114.0,50698,78.38428466234342
2023-10-21 10:00:00,29843.41,29878.83,29755.72,29772.48,1139.0,33938523.0,50432,74.38405878772849
2023-10-21 11:00:00,29772.49,29850.1,29765.67,29804.99,1328.0,39583637.0,42604,74.94764224774602
2023-10-21 12:00:00,29804.99,29833.03,29744.98,29768.27,1030.0,30677817.0,35186,58.691172834418545
2023-10-21 13:00:00,29768.28,29798.32,29678.69,29775.48,1019.0,30308165.0,46764,61.00552486187849
2023-10-21 14:00:00,29775.49,29921.68,29752.76,29884.1,1622.0,48366282.0,59710,75.37060761346996
2023-10-21 15:00:00,29884.1,29980.0,29771.46,29937.36,1895.0,56667783.0,78719,65.18786781349054
2023-10-21 16:00:00,29937.37,29974.26,29846.0,29867.41,1191.0,35609688.0,55171,65.39721672559753
2023-10-21 17:00:00,29867.41,30180.0,29848.32,30146.68,2517.0,75600152.0,85710,80.78121903320516
2023-10-21 18:00:00,30146.67,30379.99,29964.41,30206.23,3650.0,109984347.0,128479,87.89499186654196
2023-10-21 19:00:00,30206.23,30280.0,30028.96,30145.04,1410.0,42481723.0,72971,79.24474550519129
2023-10-21 20:00:00,30145.03,30158.2,29931.38,30015.7,1318.0,39576575.0,66228,60.08336398185622
2023-10-21 21:00:00,30015.69,30057.4,29974.98,29984.31,542.0,16280680.0,32751,53.722113875279526
2023-10-21 22:00:00,29984.32,30033.38,29945.63,29996.65,469.0,14071278.0,28393,61.27591261254991
2023-10-21 23:00:00,29996.65,29996.66,29850.0,29909.8,798.0,23858349.0,36269,18.885619713129685
2023-10-22 00:00:00,29909.8,30009.01,29885.0,29971.78,883.0,26441616.0,37004,19.400140959043483
2023-10-22 01:00:00,29971.78,30075.0,29860.01,29928.73,1120.0,33548283.0,51701,20.364433484038784
2023-10-22 02:00:00,29928.73,29928.74,29843.2,29862.46,790.0,23588481.0,32479,24.619053928713214
2023-10-22 03:00:00,29862.45,29912.53,29843.49,29907.38,412.0,12314710.0,23493,37.804762055737065
2023-10-22 04:00:00,29907.38,29996.0,29897.8,29954.71,743.0,22249898.0,29707,44.0154109589038
2023-10-22 05:00:00,29954.71,30248.0,29954.7,30114.51,2379.0,71560795.0,66610,74.17739459076412
2023-10-22 06:00:00,30114.52,30215.09,30053.86,30078.5,1231.0,37079978.0,62143,63.4279530927578
2023-10-22 07:00:00,30078.5,30078.51,29640.0,29816.26,2717.0,81070339.0,97438,40.8793810921711
2023-10-22 08:00:00,29816.27,29882.79,29780.11,29832.09,1032.0,30786954.0,52000,47.3177538727855
2023-10-22 09:00:00,29832.09,29991.05,29820.0,29880.43,1047.0,31326024.0,49949,47.6340970941971
2023-10-22 10:00:00,29880.42,29951.15,29861.8,29898.16,526.0,15732500.0,33478,44.76340401889072
2023-10-22 11:00:00,29898.15,29929.92,29820.84,29909.67,721.0,21557618.0,39555,23.84976765561963
2023-10-22 12:00:00,29909.66,29951.94,29868.96,29895.85,680.0,20336358.0,31047,25.282160933228568
2023-10-22 13:00:00,29895.85,29974.46,29887.35,29945.4,557.0,16688381.0,29140,91.18510014032435
2023-10-22 14:00:00,29945.4,29952.78,29781.0,29875.0,1075.0,32120187.0,44606,60.151407617695625
2023-10-22 15:00:00,29874.99,29876.75,29785.52,29825.6,822.0,24533889.0,41216,37.093357186572945
