Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,RSI
2023-02-17 15:08:00,0.3995,0.3995,0.399,0.399,106549.0,42541.0,117,
2023-02-17 15:09:00,0.399,0.3993,0.3986,0.399,93843.0,37443.0,103,
2023-02-17 15:10:00,0.3989,0.399,0.3983,0.3986,139984.0,55785.0,155,
2023-02-17 15:11:00,0.3986,0.3994,0.3986,0.3989,104175.0,41570.0,125,
2023-02-17 15:12:00,0.3988,0.4,0.3987,0.3996,151320.0,60467.0,166,71.42857142857086
2023-02-17 15:13:00,0.3996,0.4004,0.3996,0.3996,200367.0,80123.0,198,71.42857142857086
2023-02-17 15:14:00,0.3997,0.3999,0.3991,0.3993,111394.0,44502.0,132,58.82352941176355
2023-02-17 15:15:00,0.3993,0.3997,0.399,0.3992,162368.0,64827.0,209,71.42857142857086
2023-02-17 15:16:00,0.3992,0.4,0.3991,0.3999,119871.0,47916.0,137,77.77777777777743
2023-02-17 15:17:00,0.3999,0.4003,0.3997,0.4002,84786.0,33915.0,100,71.42857142857086
2023-02-17 15:18:00,0.4003,0.4008,0.4003,0.4006,163399.0,65444.0,189,77.77777777777743
2023-02-17 15:19:00,0.4006,0.4012,0.4006,0.401,264975.0,106258.0,275,94.73684210526378
2023-02-17 15:20:00,0.401,0.4019,0.4009,0.4015,255456.0,102603.0,283,100.0
2023-02-17 15:21:00,0.4015,0.4019,0.4013,0.4013,160564.0,64502.0,132,88.88888888888752
2023-02-17 15:22:00,0.4014,0.4018,0.4007,0.4007,166068.0,66630.0,144,61.904761904761656
2023-02-17 15:23:00,0.4006,0.4009,0.4002,0.4008,144890.0,58023.0,157,55.55555555555487
2023-02-17 15:24:00,0.4008,0.401,0.4003,0.4004,68788.0,27567.0,86,33.333333333332305
2023-02-17 15:25:00,0.4003,0.4005,0.4,0.4,186732.0,74720.0,126,5.8823529411758955
2023-02-17 15:26:00,0.4001,0.4002,0.3996,0.3997,84780.0,33888.0,107,5.5555555555550455
2023-02-17 15:27:00,0.3997,0.4003,0.3997,0.4001,213837.0,85517.0,143,31.250000000000213
