Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,Log_VolumeGain,pricegain,RSI
2023-02-01 05:08:00,19.7,19.7,19.69,19.7,410.0,8078.0,22,-257.7224443567879,0.10162601626015899,100.0
2023-02-01 05:09:00,19.7,19.7,19.7,19.7,258.0,5083.0,7,-46.32426786764557,0.0,100.0
2023-02-01 05:10:00,19.7,19.7,19.69,19.69,139.0,2728.0,19,-62.23328984835498,0.0,75.00000000000222
2023-02-01 05:11:00,19.69,19.7,19.69,19.69,576.0,11348.0,8,142.54727769653894,-0.050761421319789335,75.00000000000222
2023-02-01 05:12:00,19.69,19.7,19.69,19.7,335.0,6602.0,10,-54.16688835156036,0.0,66.66666666666666
2023-02-01 05:13:00,19.7,19.71,19.69,19.69,2257.0,44458.0,42,190.71722898377166,0.0507872016251909,33.33333333333333
2023-02-01 05:14:00,19.68,19.69,19.68,19.69,801.0,15767.0,37,-103.66257750133734,-0.10152284263958977,33.33333333333333
2023-02-01 05:15:00,19.68,19.68,19.67,19.68,125.0,2460.0,6,-185.77577983110734,0.0,33.33333333332939
2023-02-01 05:16:00,19.68,19.68,19.67,19.68,38.0,748.0,10,-119.05136509519312,0.0,33.33333333332939
2023-02-01 05:17:00,19.68,19.68,19.66,19.66,357.0,7016.0,20,223.85455560775415,0.0,0.0
2023-02-01 05:18:00,19.66,19.68,19.66,19.67,667.0,13120.0,30,62.59445284460611,-0.10162601626015899,25.000000000002217
2023-02-01 05:19:00,19.68,19.68,19.67,19.67,88.0,1729.0,8,-202.65945768147895,0.10172939979653517,25.000000000002217
2023-02-01 05:20:00,19.68,19.68,19.65,19.65,621.0,12206.0,29,195.43844274211497,0.0,20.00000000000142
2023-02-01 05:21:00,19.65,19.68,19.64,19.68,544.0,10691.0,45,-13.252536809094039,-0.1524390243902496,50.0
2023-02-01 05:22:00,19.68,19.69,19.67,19.67,227.0,4465.0,11,-87.31330517029005,0.15267175572519776,57.14285714285787
2023-02-01 05:23:00,19.68,19.68,19.68,19.68,11.0,214.0,4,-303.8048478288748,0.0,57.142857142855696
2023-02-01 05:24:00,19.68,19.68,19.67,19.67,61.0,1198.0,6,172.24327636535432,0.0,50.0
2023-02-01 05:25:00,19.68,19.7,19.68,19.68,1036.0,20408.0,43,283.5273481146253,0.0,71.42857142857433
2023-02-01 05:26:00,19.68,19.68,19.67,19.68,131.0,2582.0,8,-206.736268841506,0.0,50.0
2023-02-01 05:27:00,19.68,19.69,19.67,19.69,337.0,6642.0,16,94.48488305301042,0.0,75.00000000000222
2023-02-01 05:28:00,19.69,19.69,19.68,19.68,607.0,11944.0,11,58.68159372823344,0.050813008130079496,50.0
2023-02-01 05:29:00,19.68,19.68,19.67,19.68,213.0,4195.0,15,-104.63357203177198,-0.050787201625202005,66.66666666666272
2023-02-01 05:30:00,19.69,19.69,19.65,19.68,6547.0,128771.0,193,342.4142293120325,0.050813008130079496,50.0
2023-02-01 05:31:00,19.69,19.7,19.69,19.7,450.0,8865.0,32,-267.59246935133234,0.0,74.99999999999778
2023-02-01 05:32:00,19.7,19.71,19.66,19.67,1342.0,26418.0,59,109.19346564755006,0.0507872016251909,33.33333333333333
2023-02-01 05:33:00,19.67,19.67,19.66,19.67,1826.0,35908.0,45,30.69145158927703,-0.1522842639593791,40.000000000001414
2023-02-01 05:34:00,19.66,19.66,19.65,19.65,409.0,8036.0,17,-149.7028664941754,-0.050838840874434243,28.571428571427845
2023-02-01 05:35:00,19.64,19.64,19.63,19.64,64.0,1252.0,16,-185.91891742747814,-0.10172939979653517,25.000000000000014
2023-02-01 05:36:00,19.64,19.64,19.62,19.62,508.0,9963.0,31,207.41359583848126,0.0,0.0
