Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,Log_VolumeGain,pricegain,RSI
2023-01-31 23:40:00,0.9999,1.0,0.9999,0.9999,138709.0,138703.0,317,0.0,0.0,
2023-01-31 23:41:00,0.9999,1.0,0.9999,0.9999,189776.0,189765.0,256,31.34515080318633,0.0,
2023-01-31 23:42:00,1.0,1.0,0.9999,1.0,71102.0,71097.0,183,-98.17413227085702,0.010001000100001711,
2023-01-31 23:43:00,0.9999,1.0,0.9999,0.9999,167450.0,167440.0,262,85.6579936311572,-0.009999999999998899,
2023-01-31 23:44:00,0.9999,1.0,0.9999,0.9999,709837.0,709788.0,328,144.43412557609886,0.0,
2023-01-31 23:45:00,1.0,1.0,0.9999,0.9999,418583.0,418575.0,384,-52.81102485561257,0.010001000100001711,
2023-01-31 23:46:00,1.0,1.0,0.9999,0.9999,352707.0,352700.0,257,-17.123824810060064,0.0,50.0
2023-01-31 23:47:00,0.9999,1.0,0.9999,0.9999,478646.0,478621.0,543,30.52912152470906,-0.009999999999998899,50.0
2023-01-31 23:48:00,0.9999,1.0,0.9999,0.9999,446642.0,446625.0,456,-6.918973614552295,0.0,50.0
2023-01-31 23:49:00,0.9999,1.0,0.9999,0.9999,181790.0,181773.0,398,-89.89606604811033,0.0,0.0
2023-01-31 23:50:00,0.9999,1.0,0.9999,0.9999,223665.0,223649.0,389,20.731920273431328,0.0,
2023-01-31 23:51:00,0.9999,1.0,0.9999,0.9999,151014.0,151006.0,351,-39.27582874719401,0.0,
2023-01-31 23:52:00,0.9999,1.0,0.9999,0.9999,194106.0,194100.0,328,25.105391905012063,0.0,
2023-01-31 23:53:00,1.0,1.0,0.9999,0.9999,359869.0,359836.0,286,61.72748819226788,0.010001000100001711,
2023-01-31 23:54:00,0.9999,1.0,0.9999,0.9999,105964.0,105958.0,265,-122.26055829190979,-0.009999999999998899,
2023-01-31 23:55:00,0.9999,1.0,0.9999,0.9999,79935.0,79931.0,202,-28.187902667180033,0.0,
2023-01-31 23:56:00,1.0,1.0,0.9999,1.0,105862.0,105857.0,292,28.09253642054525,0.010001000100001711,100.0
2023-01-31 23:57:00,0.9999,1.0,0.9999,0.9999,105942.0,105937.0,281,0.07554510874217504,-0.009999999999998899,50.0
2023-01-31 23:58:00,1.0,1.0,0.9999,1.0,102236.0,102232.0,230,-3.5599837493217352,0.010001000100001711,66.66666666666666
2023-01-31 23:59:00,0.9999,1.0,0.9999,0.9999,59306.0,59303.0,229,-54.45848453631401,-0.009999999999998899,50.0
2023-02-01 00:00:00,1.0,1.0,0.9999,0.9999,523716.0,523674.0,514,217.82094583654202,0.010001000100001711,50.0
2023-02-01 00:01:00,0.9999,1.0,0.9999,0.9999,340966.0,340944.0,625,-42.915111238511855,-0.009999999999998899,50.0
2023-02-01 00:02:00,0.9999,1.0,0.9999,0.9999,3075764.0,3075463.0,570,219.94924970883557,0.0,50.0
2023-02-01 00:03:00,1.0,1.0,0.9999,1.0,333683.0,333670.0,657,-222.10582574047183,0.010001000100001711,50.0
2023-02-01 00:04:00,0.9999,1.0,0.9999,1.0,231770.0,231754.0,388,-36.447601633176326,-0.009999999999998899,66.66666666666666
2023-02-01 00:05:00,0.9999,1.0,0.9999,0.9999,1174144.0,1174057.0,1137,162.254408689311,0.0,33.33333333333333
2023-02-01 00:06:00,0.9999,1.0,0.9999,0.9999,529126.0,529090.0,917,-79.70620014559692,0.0,50.0
2023-02-01 00:07:00,0.9999,1.0,0.9999,0.9999,244255.0,244237.0,537,-77.30194843617201,0.0,50.0
2023-02-01 00:08:00,0.9999,1.0,0.9999,0.9999,264030.0,264013.0,386,7.785927900733207,0.0,50.0
2023-02-01 00:09:00,1.0,1.0,0.9999,0.9999,240238.0,240223.0,498,-9.44306857576668,0.010001000100001711,50.0
2023-02-01 00:10:00,1.0,1.0,0.9999,0.9999,343927.0,343904.0,582,35.87948900582194,0.0,0.0
2023-02-01 00:11:00,1.0,1.0,0.9999,0.9999,211152.0,211138.0,307,-48.78506005300464,0.0,0.0
2023-02-01 00:12:00,0.9999,1.0,0.9999,0.9999,147691.0,147684.0,428,-35.74370921504965,-0.009999999999998899,
